Time,Brightness_1,Brightness_2,Brightness_3,Brightness_4
2.44,0.8479266721448653,1.539826040850187,0.6263996439035964,0.1808550655217971
2.46,0.8132443587169007,1.5090755292634412,0.6164896932270949,0.08371894573761551
2.48,0.8406935304759884,1.5394264266845425,0.6560838359689569,0.05580088585827525
2.5,0.8565646763805717,1.516775619763024,0.6753118768090474,0.047069158767499175
2.52,0.8322738371749381,1.5719236018258016,0.6091427544515966,-0.03172776628053953
2.54,0.8217089317607247,1.5858779397253215,0.647218423075202,-0.02311328487152764
2.56,0.8365935574991283,1.5222862269648374,0.6630947646216327,0.13524760317758933
2.58,0.8483917510071421,1.4183725814176285,0.7400724596670045,0.05537427453577948
2.6,0.8248857606845093,1.3561035793285896,0.7058356678374196,-0.02537456043125985
2.62,0.8856281678835956,1.5642025669551458,0.73170743386666,0.06461419097479393
2.64,0.850454236979914,1.6013843526790197,0.6653624846644846,0.018539745502323512
2.66,0.9308350025449101,1.6939537292881255,0.6992337989806288,0.09161472668421311
2.68,0.9343986762997929,1.620247926150114,0.7719870272958644,0.03482821827543603
2.7,0.8070547033675837,1.3366475837262328,0.7315280162486317,0.023607721760839695
2.72,0.8616514469069898,1.5231963290985107,0.7378818634438744,0.1440170964516767
2.74,0.8892080775377451,1.5737013796035626,0.7389386728189322,0.04630397975120104
2.76,0.8707349276133982,1.630578188462266,0.6621827156229187,0.03890675887720363
2.78,0.800519752075445,1.4380527071485574,0.6293401335164788,0.046834278695996545
2.8,0.8307649086035269,1.3896736018257911,0.6978034687373054,0.08263830514803772
2.82,0.9524166943178045,1.7072483881505889,0.7369327422415779,-0.006809573362346555
2.84,0.9008111897306605,1.5757401155872515,0.7420981935079567,0.07075060855564175
2.86,0.9009792647800339,1.5625526886352645,0.7323123469785742,0.13913517461170954
2.88,0.7838020991068504,1.4093785619170092,0.6806462566506468,-0.154769303990264
2.9,0.8774166943178159,1.6529003460118474,0.6797075385047435,-0.09009321478552579
